sample_id,is_correct,error_type,notes
rust_error_mappings-001,true,,from_err_ptr wraps bindings::clk_get_optional inside OptionalClk::get
rust_error_mappings-002,true,,UserSliceWriter::write_slice signature returns Result and body returns Err or Ok
rust_error_mappings-003,true,,Device<Ctx>::parent signature returns Option and body returns None or Some
rust_error_mappings-004,true,,binder_transfer_file returns Result and calls security_binder_transfer_file through to_result
rust_error_mappings-005,true,,List<T ID>::pop_back signature returns Option and body returns None or Some
rust_error_mappings-006,false,WRONG_SYMBOL,nearby_binding_symbol firmware comes from adjacent bindings::firmware type not the request_nowarn call
rust_error_mappings-007,true,,CStr::to_ascii_lowercase signature returns Result<CString AllocError>
rust_error_mappings-008,false,WRONG_SCOPE,PTR_ERR line is inside from_err_ptr but nearby_api is to_result
rust_error_mappings-009,true,,Bar<SIZE>::new signature returns Result<Self>
rust_error_mappings-010,true,,write wraps bindings::mdiobus_write with to_result
rust_error_mappings-011,true,,start creates a NonNull with new_unchecked in executable code
rust_error_mappings-012,true,,cursor_lower_bound_mut uses NonNull::new and returns Option
rust_error_mappings-013,true,,io_request_by_name signature returns Option<IoRequest>
rust_error_mappings-014,false,FALSE_INDICATOR,to_result appears only in a multi-line use import
rust_error_mappings-015,true,,Cursor move_prev signature returns Option and delegates to mv
rust_error_mappings-016,true,,NullTerminatedFormatter::new returns Option and uses first_mut question mark
rust_error_mappings-017,true,,mmget_not_zero returns Option and calls bindings::mmget_not_zero
rust_error_mappings-018,true,,RBTree insert signature returns Option and body returns Some or None
rust_error_mappings-019,true,,iter maps XA_PRESENT lookup results through NonNull::new
rust_error_mappings-020,false,WRONG_SCOPE,from_err_ptr wraps __blk_mq_alloc_disk inside build but nearby_api is capacity_sectors
rust_error_mappings-021,true,,remove_prev signature returns Option and maps peek_prev
rust_error_mappings-022,true,,FreqTable::new wraps dev_pm_opp_init_cpufreq_table with to_result
rust_error_mappings-023,true,,to_result helper converts negative errno to Result
rust_error_mappings-024,true,,UniqueArc<T>::new signature returns Result<Self AllocError>
rust_error_mappings-025,true,,BitmapVec::new signature returns Result<Self AllocError>
rust_error_mappings-026,true,,GpuBuddyInner new wraps gpu_buddy_init with to_result
rust_error_mappings-027,true,,Table::opp_from_bw uses from_err_ptr around bandwidth OPP lookup
rust_error_mappings-028,false,WRONG_SYMBOL,nearby_binding_symbol faux_device comes from adjacent type access not the faux_device_create call feeding dev
rust_error_mappings-029,true,,Registration<T>::new wraps cpufreq_register_driver with to_result
rust_error_mappings-030,true,,Regulator<T>::set_voltage returns Result and calls regulator_set_voltage through to_result
rust_error_mappings-031,true,,from_cpu returns Result and calls bindings::get_cpu_device before null check
rust_error_mappings-032,true,,drm Registration new wraps drm_dev_register with to_result
rust_error_mappings-033,true,,to_result wraps __pci_register_driver on the evidence line
rust_error_mappings-034,true,,Device::genphy_update_link wraps genphy_update_link with to_result
rust_error_mappings-035,true,,RBTree<K V>::get_mut signature returns Option<&mut V>
rust_error_mappings-036,true,,Table::opp_from_level uses from_err_ptr and exact arm calls dev_pm_opp_find_level_exact
rust_error_mappings-037,false,WRONG_SCOPE,IS_ERR line is inside from_err_ptr but nearby_api is to_result
rust_error_mappings-038,true,,from_foreign constructs NonNull::new from the foreign pointer
rust_error_mappings-039,true,,wrapper_ptr converts blk_mq_rq_to_pdu result with NonNull::new_unchecked
rust_error_mappings-040,false,WRONG_SCOPE,from_err_ptr definition is the mapped API but nearby_api is to_result
rust_error_mappings-041,false,WRONG_SCOPE,PTR_ERR line is inside from_err_ptr but nearby_api is to_result
rust_error_mappings-042,true,,Regulator<Disabled>::get signature returns Result<Self>
rust_error_mappings-043,true,,Device::write signature returns Result and body uses to_result
rust_error_mappings-044,true,,Table::cpufreq_table signature returns Result<FreqTable>
rust_error_mappings-045,true,,Page::read_raw signature returns Result and closure returns Ok
rust_error_mappings-046,true,,Table::from_of signature returns Result and body uses to_result
rust_error_mappings-047,true,,Vec<T A>::reserve signature returns Result unit AllocError
rust_error_mappings-048,true,,Box<T A>::pin signature returns Result<Pin<Box<T A>> AllocError>
rust_error_mappings-049,true,,Device::genphy_suspend wraps genphy_suspend with to_result
rust_error_mappings-050,true,,Registration::new returns Result and calls faux_device_create before NonNull conversion
