warning_id,type,risk,score,symbol,reviewer1_label,reviewer1_notes,reviewer2_label,reviewer2_notes,adjudicated_label,adjudication_notes,label,reviewer_notes
W-000001,SignatureDrift,High,14.6,INIT_LIST_HEAD,FALSE_POSITIVE,"INIT_LIST_HEAD has only absent->added evidence, with no concrete old/new C signature or diff. Rust exposure is GENERATED_FROM/HAS_SAFETY_COMMENT; no build or wrapper-fix oracle is present.",FALSE_POSITIVE,"Conservative review rejects INIT_LIST_HEAD as unsupported: the packet only shows absent->added, not a concrete C drift. No objective oracle or explicit Rust contract dependence.",FALSE_POSITIVE,"Adjudicated FALSE_POSITIVE: INIT_LIST_HEAD has only absent->added evidence, no concrete C diff, and no build/wrapper oracle or supported Rust contract dependence.",,
W-000181,SignatureDrift,High,14.4,vm_mmap,FALSE_POSITIVE,"vm_mmap shows params changed, but the warning is name-only, declaration-attribute, synthetic bindgen, or mismapped evidence. No build/wrapper oracle.",FALSE_POSITIVE,"Strict review treats vm_mmap as unsupported/parser noise: params changed. Rust evidence is GENERATED_FROM, not a concrete stale contract.",FALSE_POSITIVE,Adjudicated FALSE_POSITIVE: evidence for vm_mmap is parser/name/synthetic or mismapped rather than a supported C contract drift.,,
W-000707,SignatureDrift,High,14.4,vm_mmap,FALSE_POSITIVE,"vm_mmap shows return extern unsigned long __must_check->unsigned long __must_check; params changed, but the warning is name-only, declaration-attribute, synthetic bindgen, or mismapped evidence. No build/wrapper oracle.",FALSE_POSITIVE,"Strict review treats vm_mmap as unsupported/parser noise: return extern unsigned long __must_check->unsigned long __must_check; params changed. Rust evidence is GENERATED_FROM, not a concrete stale contract.",FALSE_POSITIVE,Adjudicated FALSE_POSITIVE: evidence for vm_mmap is parser/name/synthetic or mismapped rather than a supported C contract drift.,,
W-000689,SignatureDrift,High,14.0,resource_size_t,FALSE_POSITIVE,"resource_size_t shows params changed, but the warning is name-only, declaration-attribute, synthetic bindgen, or mismapped evidence. No build/wrapper oracle.",FALSE_POSITIVE,"Strict review treats resource_size_t as unsupported/parser noise: params changed. Rust evidence is HAS_ERROR_MAPPING/HAS_SAFETY_COMMENT, not a concrete stale contract.",FALSE_POSITIVE,Adjudicated FALSE_POSITIVE: evidence for resource_size_t is parser/name/synthetic or mismapped rather than a supported C contract drift.,,
W-000134,SignatureDrift,High,13.2,list_add_tail,FALSE_POSITIVE,"list_add_tail has only absent->added evidence, with no concrete old/new C signature or diff. Rust exposure is GENERATED_FROM/HAS_SAFETY_COMMENT; no build or wrapper-fix oracle is present.",FALSE_POSITIVE,"Conservative review rejects list_add_tail as unsupported: the packet only shows absent->added, not a concrete C drift. No objective oracle or explicit Rust contract dependence.",FALSE_POSITIVE,"Adjudicated FALSE_POSITIVE: list_add_tail has only absent->added evidence, no concrete C diff, and no build/wrapper oracle or supported Rust contract dependence.",,
W-000195,FieldDrift,High,12.6,cgroup,FALSE_POSITIVE,"cgroup shows added __bindgen_padding_0, but the warning is name-only, declaration-attribute, synthetic bindgen, or mismapped evidence. No build/wrapper oracle.",FALSE_POSITIVE,"Strict review treats cgroup as unsupported/parser noise: added __bindgen_padding_0. Rust evidence is GENERATED_FROM, not a concrete stale contract.",FALSE_POSITIVE,Adjudicated FALSE_POSITIVE: evidence for cgroup is parser/name/synthetic or mismapped rather than a supported C contract drift.,,
W-000197,FieldDrift,High,12.6,class,BENIGN_DRIFT,"class shows concrete FieldDrift evidence (changed class_groups, dev_groups), but Rust exposure is GENERATED_FROM without build or wrapper-fix oracle.",BENIGN_DRIFT,"Real drift is visible for class (changed class_groups, dev_groups), yet evidence does not show Rust safe/unsafe contract dependence beyond bindings/metadata.",BENIGN_DRIFT,"Adjudicated BENIGN_DRIFT: real FieldDrift evidence is present for class, but no build breakage, wrapper fix, or explicit Rust contract dependence is shown.",,
W-000198,FieldDrift,High,12.6,cpufreq_policy,BENIGN_DRIFT,"cpufreq_policy shows concrete FieldDrift evidence (added boost_freq_req; changed min_freq_req, max_freq_req), but Rust exposure is AFFECTS_LIFETIME/GENERATED_FROM without build or wrapper-fix oracle.",BENIGN_DRIFT,"Real drift is visible for cpufreq_policy (added boost_freq_req; changed min_freq_req, max_freq_req), yet evidence does not show Rust safe/unsafe contract dependence beyond bindings/metadata.",BENIGN_DRIFT,"Adjudicated BENIGN_DRIFT: real FieldDrift evidence is present for cpufreq_policy, but no build breakage, wrapper fix, or explicit Rust contract dependence is shown.",,
W-000200,FieldDrift,High,12.6,dentry,FALSE_POSITIVE,"dentry shows added __bindgen_anon_3; removed d_u, but the warning is name-only, declaration-attribute, synthetic bindgen, or mismapped evidence. No build/wrapper oracle.",FALSE_POSITIVE,"Strict review treats dentry as unsupported/parser noise: added __bindgen_anon_3; removed d_u. Rust evidence is GENERATED_FROM, not a concrete stale contract.",FALSE_POSITIVE,Adjudicated FALSE_POSITIVE: evidence for dentry is parser/name/synthetic or mismapped rather than a supported C contract drift.,,
W-000201,FieldDrift,High,12.6,device,BENIGN_DRIFT,"device shows concrete FieldDrift evidence (added flags; removed __bindgen_padding_0), but Rust exposure is GENERATED_FROM without build or wrapper-fix oracle.",BENIGN_DRIFT,"Real drift is visible for device (added flags; removed __bindgen_padding_0), yet evidence does not show Rust safe/unsafe contract dependence beyond bindings/metadata.",BENIGN_DRIFT,"Adjudicated BENIGN_DRIFT: real FieldDrift evidence is present for device, but no build breakage, wrapper fix, or explicit Rust contract dependence is shown.",,
W-000203,FieldDrift,High,12.6,dma_fence,BENIGN_DRIFT,"dma_fence shows concrete FieldDrift evidence (added __bindgen_anon_2; removed lock), but Rust exposure is GENERATED_FROM without build or wrapper-fix oracle.",BENIGN_DRIFT,"Real drift is visible for dma_fence (added __bindgen_anon_2; removed lock), yet evidence does not show Rust safe/unsafe contract dependence beyond bindings/metadata.",BENIGN_DRIFT,"Adjudicated BENIGN_DRIFT: real FieldDrift evidence is present for dma_fence, but no build breakage, wrapper fix, or explicit Rust contract dependence is shown.",,
