sample_id,is_correct,error_type,notes
promoted_warnings-001,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-002,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-003,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-004,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-005,false,FALSE_INDICATOR,"Rust evidence is only an ignored doc example in rust/kernel/error.rs:283 rather than executable binding use; the C helper already exists in v6.13."
promoted_warnings-006,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-007,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-008,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-009,false,WRONG_LINE,"Macro drift is real and Rust uses VM_DONTEXPAND at virt.rs:432, but evidence_chain cites adjacent VM_DONTCOPY text at virt.rs:428."
promoted_warnings-010,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-011,true,,"gpu_buddy_block_offset is used in buddy.rs:566 and is exactly symbol-matched by the GPU buddy oracle commit b9616d9721bf."
promoted_warnings-012,false,BINDGEN_ARTIFACT,"Old side is bindgen __BindgenBitfieldUnit::set_bit while new side is the C helper binding; actual C set_bit signature is unchanged."
promoted_warnings-013,true,,"platform_set_drvdata has a real executable Rust use at platform.rs:69 plus generated exposure; extra doc-example evidence does not invalidate the target."
promoted_warnings-014,false,WRONG_LINE,"Macro drift is real and Rust uses VM_MIXEDMAP at virt.rs:462, but evidence_chain cites adjacent VM_SOFTDIRTY text at virt.rs:458."
promoted_warnings-015,false,FALSE_INDICATOR,"Rust evidence is only a firmware.rs invariant mention at line 13; request_firmware_direct is not executable Rust binding use in the sampled version."
promoted_warnings-016,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-017,true,,"current_euid is used by the Rust Kuid wrapper at task.rs:347 and exactly symbol-matched by the Kuid oracle commit."
promoted_warnings-018,true,,"fsleep is used in delay.rs:47 and exactly symbol-matched by the fsleep wrapper oracle commit."
promoted_warnings-019,true,,"pci_free_irq_vectors is exactly symbol-matched by oracle commit 473b9f331718 for the Rust PCI helper build surface."
promoted_warnings-020,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-021,false,WRONG_SCOPE,"C evidence compares ERR_PTR call-site arguments rather than the ERR_PTR API; include/linux/err.h keeps the same ERR_PTR(long error) helper."
promoted_warnings-022,true,,"request struct layout evidence is real and Rust block code uses bindings::request in request and operations paths with symbol-connected oracle hits."
promoted_warnings-023,false,BINDGEN_ARTIFACT,"platform_device has the same C fields in v6.13 and v6.14; old empty binding fields are a generated binding extraction artifact."
promoted_warnings-024,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-025,true,,"faux_device_create is used at faux.rs:31 and exactly symbol-matched by the faux device oracle commit."
promoted_warnings-026,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-027,true,,"poll_wait is used at poll.rs:61 and exactly symbol-matched by the poll_table oracle commit."
promoted_warnings-028,false,BINDGEN_ARTIFACT,"device C layout is present in both v6.7 and v6.8; old empty binding fields and broad generic device oracle matches do not support this warning."
promoted_warnings-029,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-030,false,WRONG_LINE,"Macro drift is real and Rust uses VM_EXEC at virt.rs:405, but evidence_chain cites adjacent VM_WRITE text at virt.rs:401."
promoted_warnings-031,false,BINDGEN_ARTIFACT,"REFCOUNT_INIT differs only as core::ffi::c_int versus ffi::c_int in generated bindings; the C macro is unchanged."
promoted_warnings-032,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-033,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-034,true,,"queue_limits has real C layout additions and Rust zero-initializes bindings::queue_limits at gen_disk.rs:97; oracle targets removed queue-limit APIs."
promoted_warnings-035,false,BINDGEN_ARTIFACT,"_find_next_bit differs only by core::ffi namespace churn in generated bindings; the C declaration is unchanged."
promoted_warnings-036,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-037,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-038,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-039,false,WRONG_LINE,"Macro drift is real and Rust uses VM_HUGETLB at virt.rs:444, but evidence_chain cites adjacent VM_NORESERVE text at virt.rs:440."
promoted_warnings-040,false,WRONG_SCOPE,"C evidence compares mdiobus_write call sites inside PHY helpers; the exported mdiobus_write signature in mdio.h is unchanged."
promoted_warnings-041,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-042,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
promoted_warnings-043,false,WRONG_SCOPE,"C evidence compares different dev_get_drvdata wrapper call sites while the actual helper signature in device.h is unchanged."
promoted_warnings-044,true,,"Generated atomic helper binding is exactly symbol-matched by oracle commit fdd7c7e0d2ab and has generated Rust exposure."
